EMPLOYEE_ID;ITEM_ID
3GC0BJRVTV52OE01;3GC0BJRVXJKJ4X02
3GC0BJRW09BV3103;3GC0BJRW2VW5NK04
3GC0BJRW5B04N705;3GC0BJRW7N796U06
3GC0BJRWB4BJ7H07;3GC0BJRWDCLC7A08
3GC0BJRWFK7RP209;3GC0BJRWI35IJX0A
3GC0BJRWK77NZI0B;3GC0BJRXMJ79VC0C
3GC0BJRXOZT9OS0D;3GC0BJRXR1A5U30E
3GC0BJRXSRWRX30F;3GC0BJRXUMAVU90G
3GC0BJRXWD1NOT0H;3GC0BJRXXYBCVF0I
3GC0BJRXZLBPJ40J;3GC0BJRX2I65630K
3GC0BJRX42WP7C0L;3GC0BJRX5UJBQJ0M
3GC0BJRY7GXCPP0N;3GC0BJRY8XRCS30O
3GC0BJRYAQESW30P;3GC0BJRYG833R70Q
3GC0BJRYIP6BMF0R;3GC0BJRYK9KYNV0S
3GC0BJRYLVDG370T;3GC0BJRYNMUK3A0U
3GC0BJRYPCXYX50V;3GC0BJRYR5NV320W
3GC0BJRZWKLNYC0X;3GC0BJRZY705V50Y
3GC0BJRZZRFJS40Z;3GC0BJRZ17B4Z210
3GC0BJRZ2IWZHH11;3GC0BJRZ3XK4WW12
3GC0BJRZ5G8FKW13;3GC0BJRZ6QZ1BD14
3GC0BJRZ833Q8K15;3GC0BJRZ9CMMI816
3GC0BJRZCS659B17;3GC0BJS0EY3V6I18
3GC0BJS0HNY4O119;3GC0BJS0JMUVDR1A
3GC0BJS0LKU6XB1B;3GC0BJS0O2P68S1C
3GC0BJS0PYCNC21D;3GC0BJS0RUYRN31E
3GC0BJS0UKGYY51F;3GC0BJS0WAT61L1G
3GC0BJS0Y3LX3N1H;3GC0BJS10288TM1I
3GC0BJS11FDRY81J;3GC0BJS12F63VL1K
3GC0BJS13L2OMF1L;3GC0BJS14PWSGW1M
3GC0BJS15PK2551N;3GC0BJS16QKNLI1O
3GC0BJS1846ZLR1P;3GC0BJS193YSKR1Q
3GC0BJS1AANDIT1R;3GC0BJS1BMYTW41S
3GC0BJS1COVNL21T;3GC0BJS1DMX81F1U
3GC0BJS1EFA7OC1V;3GC0BJS1FRFRE61W
3GC0BJS1GMKU871X;3GC0BJS1HH27NY1Y
3GC0BJS1I8YO4P1Z;3GC0BJS1J0XU0320
3GC0BJS2JZD39721;3GC0BJS2KQV1CF22
3GC0BJS2LQUVVA23;3GC0BJS2MNY80024
3GC0BJS2NFST8325;3GC0BJS2O49HZZ26
3GC0BJS2OSPG6S27;3GC0BJS2PMBVYN28
3GC0BJS2QAQ7OE29;3GC0BJS2R1GESP2A
3GC0BJS2RU16JO2B;3GC0BJS2SE7JOD2C
3GC0BJS2SZ5S9J2D;3GC0BJS2TMPF7J2E
3GC0BJS2U7HHJ92F;3GC0BJS2UTUM152G
3GC0BJS2VEAXOV2H;3GC0BJS2WI9BBV2I
3GC0BJS2XDOSMY2J;3GC0BJS2YAMURR2K
3GC0BJS2YZZ9022L;3GC0BJS2ZRM0BK2M
3GC0BJS20BPMX32N;3GC0BJS20UZ3852O
3GC0BJS21U1ZRC2P;3GC0BJS22DD3YM2Q
3GC0BJS22WG0UG2R;3GC0BJS23K25HH2S
3GC0BJS24FHEQJ2T;3GC0BJS35A5KL02U
3GC0BJS35W9WGU2V;3GC0BJS36FJJW92W
3GC0BJS36YROTS2X;3GC0BJS37JH2B32Y
3GC0BJS385SNON2Z;3GC0BJS38P35FH30
3GC0BJS39QR9FO31;3GC0BJS3A7B2CH32
3GC0BJS3AM3CAH33;3GC0BJS3B0AGGU34
3GC0BJS3BE9CGK35;3GC0BJS3BTYO7136
3GC0BJS3C78F6237;3GC0BJS3CM0LL538
3GC0BJS3D23L2H39;3GC0BJS3DGCLNJ3A
3GC0BJS3DU70CF3B;3GC0BJS3E9Q1Q63C
3GC0BJS3EO1O9Q3D;3GC0BJS3F1M9ND3E
3GC0BJS3FF7CWW3F;3GC0BJS3FYLJ8I3G
3GC0BJS3GEVICF3H;3GC0BJS3GSX4473I
3GC0BJS3HG2QQS3J;3GC0BJS3INEN503K
3GC0BJS3J7D7683L;3GC0BJS3JKXJ3O3M
3GC0BJS3KGN8DQ3N;3GC0BJS3L3SDCN3O
3GC0BJS3LPYDL33P;3GC0BJS3MNKUCL3Q
3GC0BJS3NAV72R3R;3GC0BJS3O2PVQ63S
3GC0BJS3OVIS9Z3T;3GC0BJS3PIFJCK3U
3GC0BJS3Q5ETXY3V;3GC0BJS4QVFW9J3W
3GC0BJS4RHM2BU3X;3GC0BJS4S4O0GN3Y
3GC0BJS4SV4MWI3Z;3GC0BJS4TKHPOE40
3GC0BJS4U7EZNU41;3GC0BJS4UTSMHQ42
3GC0BJS4VJ4BTW43;3GC0BJS4W61XCI44
3GC0BJS4WW46UK45;3GC0BJS4XJ2KBW46
3GC0BJS4Y8B1YB47;3GC0BJS4YV044K48
3GC0BJS4ZGAPBD49;3GC0BJS406IWNH4A
3GC0BJS40W5CZH4B;3GC0BJS41NNENF4C
3GC0BJS42AMC8Q4D;3GC0BJS432TM7A4E
3GC0BJS43QAONZ4F;3GC0BJS44E1UPH4G
